"","preferd volume","jak-nife SE of volume","flexibility","jak-nife SE of flexibility","p-value"
"1410",116.59,11.44,96.26,26.81,0
"1411",130.21,19.65,110.05,82.82,0
"1412",149.47,52.66,178.23,82.06,0.39
"1413",120.72,18.71,147.49,40.61,0.11
"1414",120.55,18.84,151.64,47.12,0.14
"1415",129.61,1769.32,115.4,2713.71,0.03
"1416",111.28,84.53,170.19,100.63,0.32
"1417",116,24.18,109.53,53.16,0
"1418",127.13,8.65,95.86,25.26,0
"1419",141.58,48.99,134.72,87.3,0.09
"1420",115.25,90.4,124.28,137.31,0.05
"1421",116.39,59.46,125.4,159.15,0.07
"1422",134.97,30.09,153.82,57.57,0.19
"1423",132.91,25.66,139.87,55.21,0.19
"1424",142.95,454.26,147.66,477.27,0.26
"1425",137.34,13.02,76.6,18.7,0
"1426",115.33,22.18,108.35,61.1,0
"1427",120.99,25.61,147.46,59.59,0.12
"1428",144.93,61.71,143.03,86.54,0.14
"1429",151.07,60.01,213.27,95.41,0.47
"1430",151.27,54.46,180.38,78.73,0.32
"1431",134.18,136.83,139.25,382.52,0.22
"1432",130.59,17.11,105.55,60.53,0.01
"1433",117.66,193.43,116.84,378.33,0
"1434",124.95,5.31,88.49,16.45,0
"1435",113.24,102.01,122.2,180.42,0.03
"1436",119.24,35.61,131.29,97.78,0.02
"1437",121.6,11.99,108.26,47.18,0.01
"1438",112.4,119.56,122.77,154.08,0.01
"1439",116.67,24.02,111.26,68.48,0.01
"1440",122.33,7.38,97.69,25.65,0
"1441",117.5,21.98,113.92,105.87,0.01
"1442",123.13,7.81,94.33,39.42,0
"1443",126.77,18.9,97.12,51.17,0
"1444",128.89,10.35,76.54,20.71,0
"1445",118.36,8.24,65.36,14.81,0
"1446",116.01,93.06,122.77,170.39,0
"1447",121.15,17.1,139.32,98.1,0.23
"1448",125.02,8.14,93.76,37.25,0.03
"1449",122.32,5.2,85.66,16.1,0
"1450",121.66,5.51,69.95,11.09,0
"1451",369.13,1028.71,229.22,359.25,0.46
"1454",1958.08,25828.69,980.5,3937.65,0.68
"1455",82.41,667874.63,263.19,18326.41,0.54
"1458",272.08,234.39,256.84,199,0.56
"1459",125.95,12.78,159.03,75.96,0.34
"1460",121.37,11.18,139.59,68.22,0.23
"1461",123.13,6.43,83.5,26.69,0
"1462",116.35,9.02,85.05,28.96,0
"1463",118.72,8.03,105.58,40.49,0.02
"1464",111.97,14.14,135.82,71.99,0.14
"1465",118.38,9.48,101.11,39.99,0.02
"1466",123.56,5.96,88,26.59,0
"1467",119.69,10.29,134.28,67.78,0.25
"1468",113.15,15.69,139.2,77.48,0.27
"1469",118.15,11.33,123.1,53.58,0.15
"1470",113.84,15.17,152.04,84.38,0.28
"1471",117.61,9.56,108.62,38.12,0.08
"1472",121.64,7.3,88.56,15.66,0
"1473",121.57,6.54,88.55,21.46,0.01
"1474",111.62,283.2,171.31,423.76,0.25
"1475",121.3,9.07,100.61,50.05,0.03
"1476",97.26,377.14,188.5,295.06,0.36
"1477",119.63,8.85,108.69,45.91,0.07
"1478",113.21,15.32,151.12,87.2,0.26
"1479",124.09,7.32,85.65,30.2,0
"1480",119.54,8.25,96.14,47.1,0.02
"1481",120.69,7.26,82.88,22.1,0
"1482",126.11,6.38,86.78,17.24,0
"1483",113.21,15.85,165.82,90.6,0.35
"1484",116.68,15.25,141.2,82.62,0.2
"1485",116.33,11.25,148.56,76.25,0.22
"1486",115.49,11.56,137.79,66.95,0.18
"1487",121.18,8.01,86.96,32.93,0.01
"1488",121.71,8.49,101.11,28.79,0.03
"1489",117.99,13.68,120.59,96.44,0.08
"1490",126.2,7.11,82.28,11.62,0
"1491",116.38,18.22,108.61,76.4,0.02
"1492",122.47,9.69,128.55,61.41,0.2
"1493",125.65,8.02,92.88,32.81,0.01
"1494",120.45,9.3,98.89,37.68,0
"1495",122.89,7.27,95.91,28.71,0
"1496",119.43,13.64,109.87,72.46,0.02
"1497",122.49,8.57,114.36,68.63,0.08
"1498",125.4,6.34,92.22,18.42,0
"1499",117.23,12.47,142.67,76.59,0.22
"1500",118.35,18.24,179.38,99.15,0.36
"1501",121.98,9.49,108.25,66.25,0.02
"1502",213.39,561.37,322.7,561.63,0.51
"1503",115.2,20.85,122.45,99.06,0.11
"1504",292.94,1747.21,384.79,1230.75,0.55
"1505",117.29,10.83,129.39,60.04,0.16
"1506",127.36,6.05,84.11,12.19,0
"1507",124.19,12.08,125.16,102.58,0.07
"1508",119.94,14.52,166.78,85.35,0.33
"1509",119.32,11.16,146.02,77.09,0.27
"1510",120.23,10.59,143.1,65.39,0.25
"1511",120.73,13.37,128.94,83.77,0.15
"1512",119.47,8.82,96.09,40.81,0
"1513",115.47,13.63,104.09,61.38,0.04
"1514",123.23,6.1,98,24.93,0.01
"1515",116.88,16.7,154.76,96.22,0.27
"1516",118.63,9.28,102.42,39.76,0.03
"1517",118.94,12.43,137.17,58.24,0.22
"1518",117.83,15.42,134.42,66.24,0.18
"1519",115.1,17.93,183.17,94.39,0.36
"1520",122.58,7.73,105.17,50.04,0.05
"1521",121.75,6.14,86.33,19.85,0
"1522",120.19,12.46,101.88,60.22,0.01
"1523",122.45,9.58,123.19,58.99,0.11
"1524",122.17,8.54,109.6,48.95,0.07
"1525",125.41,13.79,145.18,74,0.26
"1526",120.43,9.73,104.35,48.61,0.03
"1527",118.96,16.62,125.71,75.3,0.17
"1528",105.55,24.21,149.22,81.91,0.29
"1529",84.34,346.31,231.65,143.13,0.5
"1530",77.76,439.97,222.36,145.53,0.49
"1531",103.41,203.55,173.69,142.8,0.36
"1532",131.6,2129.52,248.77,4540.74,0.42
"1533",115.83,123.29,370.49,621.58,0.59
"1534",142.46,40.17,268.13,129.41,0.57
"1535",128.55,28.91,246.94,139.37,0.58
"1536",153.61,11.57,99.92,14.76,0.01
"1537",116.17,16.5,129.04,87.36,0.11
"1538",118.98,10.57,105.4,47.07,0
"1539",138.39,214.34,165.85,666.48,0.21
"1540",109.66,23.81,181.78,117.72,0.3
"1541",118.16,15.89,129.33,103.22,0.04
"1542",106.58,205.31,197.64,214.15,0.33
"1543",106.09,98.46,137,117.41,0.1
"1544",101.1,74.15,191.17,78.16,0.31
"1545",114.85,146.01,128.3,263.49,0.02
"1546",123.6,40.26,127.17,311.3,0.01
"1549",108.05,20.98,207.56,132.86,0.41
"1550",86.68,770.8,220.15,305.08,0.43
"1551",82.95,194035.49,238.59,10965.59,0.47
"1552",95.3,117.18,248.81,131.57,0.49
"1553",200.01,131.5,176.27,193.13,0.32
"1554",121.2,218.9,148.6,139.82,0.51
"1555",101.98,617.57,146.05,230.24,0.43
"1556",109.54,240.88,146.23,85.48,0.47
"1557",115.01,494.62,145.13,225.2,0.44
"1558",107.92,341.32,142.88,120.44,0.44
"1559",110.75,28.98,137.54,110.13,0.37
"1561",129.23,33387.94,325.43,6878.01,0.64
"1562",98.33,258.6,134.28,50.09,0.48
"1565",122.42,35.38,145.62,46.47,0.56
"1566",190.1,155.97,207.92,171.05,0.52
"1568",264.78,874.77,176.03,372.51,0.41
"1569",101.59,107.38,223.23,102.97,0.48
"1576",192.39,127.16,203.61,143.93,0.42
"1577",254.11,213.49,166.2,131.96,0.38
"1579",1020.56,11604.82,473.42,1585.42,0.6
"1580",374.11,1156.88,235.7,388.4,0.5
"1589",49.7,468.92,275.69,398.23,0.54
"1616",243.09,158.94,151.84,121.05,0.29
"1637",174.83,27.62,118.68,72.97,0.11
"1692",142.74,26.36,116.54,59.75,0.06
"1694",136.52,55.88,129.23,100.62,0.19
"1696",146.42,19.73,145,55.76,0.12
"1697",143.35,30.07,162.17,96.6,0.22
"1698",136.54,40.79,163.4,110.72,0.25
"1699",127.3,43.39,117.16,60.47,0.11
"1700",141.31,42.36,129.17,94.76,0.14
"1701",111.5,80.87,264.69,160.15,0.59
"1702",151.64,245.27,311.53,1025.87,0.54
"1705",157.92,104.54,253.71,179.67,0.47
"1706",-544.23,5207.44,690.75,1815.86,0.58
"1708",227.72,4265.97,245.05,1529.77,0.5
"1711",215.7,702.81,581.32,1853.31,0.64
"1712",157.61,36.75,204.46,86.01,0.37
"1713",-937.59,3990.98,1004.29,2097.24,0.6
"1714",123.22,35.46,217.69,102.77,0.31
"1717",138.34,22.94,111.03,35.29,0.08
"1718",149.57,40.1,177.29,90.76,0.28
"1719",128.74,29.8,137.78,53.98,0.13
"1720",135.54,20.37,115.47,35.02,0.04
"1723",146.89,48.68,158.18,77.82,0.31
"1724",173.18,43.35,113.86,38.79,0.24
"1725",149.66,64.89,162.82,156.12,0.36
"1727",134.7,30.07,131.35,77.52,0.19
"1729",101.42,290.11,279.97,185.37,0.59
"1730",399.93,1079.06,350.81,504.38,0.63
"1731",401.16,607.57,363.86,412.47,0.66
"2214",208.67,310.86,338.32,588.04,0.53
"2319",115.09,17.02,175.06,80.7,0.41
